,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,country,employment_gap,mobilemoney_access_gap
155,61180.0,,,,4.0,1.8872857142857142,100.0,96.2,100.0,0.4,97.4,,91.68393580166666,80.1078,Qatar,0.19999999999998863,
156,12630.0,,47.2,30.1,19.0,1.672857142857143,,82.0,100.0,1.7,63.7,4.211111111111111,98.724391935,75.16780487999999,Romania,-2.9000000000000057,8.799999999999997
157,11260.0,,28.5,39.3,16.0,1.6425714285714288,100.0,76.1,100.0,11.5,76.0,0.26,99.73005676,72.237512194,Russian Federation,-2.799999999999997,-0.7999999999999972
158,830.0,5.5,42.7,36.3,61.0,4.075,70.8,12.1,34.1,2.6,21.8,57.2,70.78358459333333,68.6648,Rwanda,20.7,10.700000000000003
159,4190.0,7.4,,43.0,8.0,3.9298571428571427,62.75,46.2,96.8,3.1,33.6,1.1,99.03451538,73.17979999999999,Samoa,-11.5,
160,,,,,33.0,,100.0,100.0,100.0,,60.2,,,,San Marino,,
161,1930.0,28.0,,,24.0,4.372285714285715,96.9,36.2,74.3,,29.9,25.6,91.47986983999999,70.1482,Sao Tome and Principe,0.0,
162,22840.0,,,,20.0,2.3908571428571426,99.2,,99.9,1.5,94.2,,95.78001149666666,75.00919999999999,Saudi Arabia,-3.799999999999997,22.299999999999997
163,1460.0,30.5,22.9,,43.0,4.697857142857144,73.89999999999999,,61.7,0.3,29.6,23.05,49.083156583333334,67.65539999999999,Senegal,10.999999999999996,8.300000000000004
164,7030.0,5.5,34.9,30.3,39.0,1.48,99.65,75.0,100.0,1.2,70.3,5.199999999999999,98.76214854,75.456585366,Serbia,-7.5,2.8000000000000114
165,16900.0,,,43.8,23.0,2.345714285714286,,,100.0,7.4,58.8,0.85,95.8677063,74.546829268,Seychelles,,
166,540.0,29.6,18.8,,12.0,4.365428571428572,82.73333333333333,10.6,23.4,1.7,13.2,48.85,37.81624985,54.282,Sierra Leone,11.3,9.4
167,59590.0,0.1,,,30.0,1.1757142857142857,99.9,100.0,100.0,0.3,84.5,,96.85802798777777,83.315609756,Singapore,-8.200000000000003,3.4000000000000057
168,27680.0,,,,,,,,100.0,,,,,78.29268293,Sint Maarten (Dutch part),,
169,19210.0,,29.7,30.3,23.0,1.4928571428571427,100.0,99.2,100.0,0.8,81.6,0.4555555555555555,,77.22585366000001,Slovak Republic,-9.399999999999991,2.200000000000003
170,25940.0,,38.5,41.9,27.0,1.5942857142857143,100.0,98.3,100.0,1.0,78.9,0.0,99.69999695,81.128780488,Slovenia,-7.299999999999997,1.2999999999999972
171,2390.0,21.3,47.4,25.1,8.0,4.410428571428571,88.0,,62.9,,11.9,24.7,,72.8064,Solomon Islands,18.5,
172,,35.5,,,24.0,6.170428571428571,5.9,,32.6,,2.0,68.6,,57.039,Somalia,6.800000000000001,
173,6040.0,3.6,,35.2,47.0,2.432285714285715,87.0,,84.4,33.8,56.2,18.7,92.90151214666666,63.8116,South Africa,-5.400000000000006,-1.5999999999999943
174,,,21.9,,32.0,4.778142857142858,,,4.2,13.9,8.0,76.5,34.52275848,57.605999999999995,South Sudan,7.9,7.8
175,30390.0,,,30.9,43.0,1.2885714285714287,100.0,99.6,100.0,0.6,84.6,0.9444444444444444,98.15948390874999,83.24195122,Spain,-7.299999999999997,4.300000000000011
176,4020.0,9.8,26.1,23.2,5.0,2.201,,,97.5,2.3,21.3,1.4,92.06135940749999,76.81280000000001,Sri Lanka,-0.8999999999999986,0.5
177,19290.0,,,,25.0,,,,100.0,36.1,80.7,,,,St. Kitts and Nevis,,
178,11020.0,,,,11.0,1.4482857142857142,92.0,,98.3,15.6,50.8,4.6,,76.0524,St. Lucia,-12.600000000000009,
179,,,,,,1.81,,96.7,100.0,16.7,,,,79.812195122,St. Martin (French part),,
180,7460.0,,,,18.0,1.9124285714285716,,,100.0,25.8,65.6,,,72.42,St. Vincent and the Grenadines,-7.3999999999999915,
181,590.0,34.2,8.2,,,4.4705714285714295,67.3,,50.7,,14.1,12.2,60.6971817,65.096,Sudan,12.399999999999999,
182,5420.0,36.0,32.7,42.2,29.0,2.444,98.3,55.8,96.7,6.1,48.9,,93.625965115,71.575,Suriname,-6.0,
183,55780.0,,52.5,39.4,47.0,1.784285714285714,100.0,99.8,100.0,1.1,93.0,0.4444444444444444,,82.55853658599999,Sweden,-7.8999999999999915,-0.5
184,85500.0,,,28.8,43.0,1.5142857142857145,100.0,94.2,100.0,0.7,89.7,0.0,,83.582439024,Switzerland,-3.5,-0.9000000000000057
185,,,,,11.0,2.8562857142857143,,,89.6,,34.3,,,71.8818,Syrian Arab Republic,-37.300000000000004,
186,1030.0,8.7,32.5,,24.0,3.5898571428571424,88.75,55.2,99.3,,22.0,4.1,99.80000305,70.8642,Tajikistan,4.900000000000006,10.0
187,1080.0,30.5,24.7,17.3,37.0,4.9557142857142855,22.799999999999997,,32.4,7.3,16.0,49.5,77.99391174499999,64.9218,Tanzania,7.1,9.399999999999999
188,7260.0,20.2,64.4,30.8,16.0,1.5264285714285712,99.56666666666668,,99.9,3.5,52.9,0.02,93.44604746333333,76.90220000000001,Thailand,0.0,3.9000000000000057
189,2020.0,14.9,64.4,33.0,38.0,4.082714285714285,60.4,,83.2,4.1,27.5,22.0,68.0668335,69.2418,Timor-Leste,20.0,
190,690.0,24.8,25.3,29.5,19.0,4.387428571428571,80.45,19.6,48.0,,12.4,43.4,63.5642128,60.7702,Togo,24.4,15.399999999999999
191,5000.0,10.1,,,0.0,3.598,95.55000000000001,29.5,98.3,1.0,41.2,1.0,99.39994812,70.8068,Tonga,2.8000000000000043,
192,17010.0,,,,26.0,1.739142857142857,,,100.0,30.6,77.3,,,73.37199999999999,Trinidad and Tobago,-14.200000000000003,14.600000000000009
193,3370.0,1.5,49.5,,26.0,2.2117142857142857,99.45,79.3,100.0,3.1,55.5,0.2,79.63636271333333,76.504,Tunisia,-14.299999999999997,17.300000000000004
194,9690.0,14.7,25.1,17.3,17.0,2.078,98.7,,100.0,2.8,64.7,0.17777777777777778,95.54795074375001,77.4154,Turkey,2.5999999999999943,28.700000000000003
195,6740.0,6.1,,,25.0,2.8337142857142856,99.75,94.8,100.0,,21.3,,99.69999695,68.07359999999998,Turkmenistan,5.799999999999997,10.200000000000003
196,28340.0,,,,,,99.2,,100.0,5.7,,,,,Turks and Caicos Islands,,
197,5620.0,,,36.7,6.0,,87.2,,99.8,18.6,49.3,,,,Tuvalu,,
198,780.0,34.0,26.6,25.5,34.0,5.1085714285714285,32.2,16.6,32.7,12.1,,39.333333333333336,73.36285782,62.911199999999994,Uganda,11.5,13.399999999999991
