,Unnamed: 0,country,gni_pc,married_by_18,firm_f_ownership,share_senior_f,parlia_w,fertility,birth_register,water_perc,elec_perc,homocides,Internetuse,poverty,literacy,life_expectancy,employment_gap,mobilemoney_access_gap,cluster
34,34,Cabo Verde,3630.0,21.35,34.9,30.3,39.0,2.313428571428571,96.8,88.95,91.3,8.8,57.2,3.4,86.05904007000001,72.76919999999998,4.799999999999997,5.700000000000003,0
35,35,Cayman Islands,47320.0,21.35,34.9,30.3,24.0,2.210857142857143,96.8,88.95,100.0,8.2,81.1,2.2625,92.97438939499999,74.197036586,0.0,5.700000000000003,0
36,36,Central African Republic,520.0,61.0,53.3,30.3,13.0,4.792571428571429,44.8,6.2,14.2,2.8,4.0,2.2625,37.39582062,52.720000000000006,6.7,8.400000000000002,1
37,37,Chad,700.0,60.6,13.1,30.3,32.0,5.849285714285714,18.85,5.6,10.9,2.8,6.5,35.650000000000006,24.15727043,53.97420000000001,11.7,14.1,1
38,38,Channel Islands,6090.0,21.35,34.9,30.3,24.0,1.5244285714285717,96.8,92.0,100.0,2.8,59.400000000000006,2.2625,92.97438939499999,82.924,0.0,5.700000000000003,0
39,39,Chile,15010.0,21.35,34.9,30.3,35.0,1.6878571428571427,96.8,98.8,99.7,3.4,82.3,0.4599999999999999,96.5616207125,80.048,-2.4000000000000057,6.5,0
40,40,China,10410.0,21.35,64.2,30.3,25.0,1.6807142857142858,96.8,88.95,100.0,0.7,54.3,2.1888888888888887,96.84088898,76.6786,2.0999999999999943,7.599999999999994,0
41,41,Hong Kong SAR China,50800.0,21.35,34.9,30.3,24.0,1.1074285714285714,96.8,100.0,100.0,0.3,89.4,2.2625,92.97438939499999,84.86146341399999,-6.399999999999992,1.2999999999999972,0
42,42,Macao SAR China,78640.0,21.35,34.9,30.3,24.0,1.215142857142857,96.8,100.0,100.0,0.2,83.2,2.2625,96.08926392,84.11500000000001,-5.5,5.700000000000003,0
43,43,Colombia,6510.0,23.4,66.9,30.3,19.0,1.8258571428571424,96.8,73.0,98.5,26.9,62.3,5.56,94.66339656285716,77.1026,-1.7999999999999972,6.899999999999999,0
44,44,Comoros,1400.0,21.35,34.9,30.3,17.0,4.2782857142857145,87.3,88.95,79.2,2.8,8.5,19.1,54.006580355,64.1152,17.7,5.700000000000003,1
45,45,Congo Dem. Rep.,530.0,29.1,15.1,30.3,13.0,6.010714285714286,32.35,19.0,18.0,2.8,8.6,77.2,76.02993393,60.3402,19.5,3.1999999999999997,1
46,46,Congo Rep.,1720.0,27.3,34.9,30.3,11.0,4.480285714285714,93.35,45.9,46.1,2.8,8.7,39.6,79.804965975,64.23479999999999,25.0,10.2,1
47,47,Costa Rica,11700.0,17.1,34.9,30.3,46.0,1.7717142857142856,100.0,80.5,99.6,11.5,71.6,1.48,97.63518524,80.09819999999999,-4.800000000000011,14.6,0
48,48,Cote d'Ivoire,2290.0,27.0,24.4,22.2,14.0,4.703,68.35,35.2,65.6,2.8,43.8,19.5,58.26115544666667,57.37859999999999,17.4,11.0,1
49,49,Croatia,14980.0,21.35,36.3,27.9,31.0,1.4485714285714286,100.0,88.95,100.0,0.9,67.1,0.6222222222222222,99.12535858,78.01365853600001,-5.899999999999992,7.099999999999994,0
50,50,Cuba,6090.0,29.4,34.9,30.3,53.0,1.637571428571429,99.9,88.95,99.2,5.5,57.1,2.2625,99.75253296,78.73780000000001,-24.60000000000001,5.700000000000003,0
